================ Training Loss (Sun Nov 27 20:01:59 2022) ================
(epoch: 13, iters: 64, time: 0.151, data: 6.687) G_GAN: 1.508 G_L1: 42.337 D_real: 0.433 D_fake: 0.342 
(epoch: 375, iters: 128, time: 0.172, data: 0.015) G_GAN: 0.813 G_L1: 5.036 D_real: 0.560 D_fake: 0.569 
(epoch: 388, iters: 64, time: 0.165, data: 6.212) G_GAN: 0.880 G_L1: 4.898 D_real: 0.806 D_fake: 0.302 
(epoch: 400, iters: 128, time: 0.174, data: 0.019) G_GAN: 2.000 G_L1: 5.167 D_real: 0.100 D_fake: 1.303 
(epoch: 413, iters: 64, time: 0.167, data: 6.198) G_GAN: 0.845 G_L1: 4.771 D_real: 0.820 D_fake: 0.352 
(epoch: 425, iters: 128, time: 0.174, data: 0.014) G_GAN: 0.949 G_L1: 4.698 D_real: 0.417 D_fake: 0.684 
(epoch: 438, iters: 64, time: 0.167, data: 6.095) G_GAN: 0.878 G_L1: 4.429 D_real: 0.521 D_fake: 0.491 
(epoch: 450, iters: 128, time: 0.176, data: 0.015) G_GAN: 0.616 G_L1: 4.321 D_real: 0.605 D_fake: 0.437 
(epoch: 463, iters: 64, time: 0.166, data: 6.126) G_GAN: 0.836 G_L1: 4.321 D_real: 1.201 D_fake: 0.237 
(epoch: 475, iters: 128, time: 0.178, data: 0.015) G_GAN: 0.699 G_L1: 4.011 D_real: 0.781 D_fake: 0.382 
(epoch: 488, iters: 64, time: 0.167, data: 6.201) G_GAN: 0.972 G_L1: 4.152 D_real: 0.289 D_fake: 0.966 
(epoch: 500, iters: 128, time: 0.178, data: 0.020) G_GAN: 0.678 G_L1: 4.118 D_real: 1.020 D_fake: 0.362 
(epoch: 513, iters: 64, time: 0.168, data: 6.064) G_GAN: 0.923 G_L1: 3.932 D_real: 0.881 D_fake: 0.333 
(epoch: 525, iters: 128, time: 0.178, data: 0.024) G_GAN: 0.770 G_L1: 3.752 D_real: 0.586 D_fake: 0.500 
(epoch: 538, iters: 64, time: 0.171, data: 6.035) G_GAN: 0.775 G_L1: 3.735 D_real: 0.617 D_fake: 0.538 
(epoch: 550, iters: 128, time: 0.179, data: 0.013) G_GAN: 0.859 G_L1: 4.454 D_real: 0.106 D_fake: 1.485 
(epoch: 563, iters: 64, time: 0.172, data: 6.080) G_GAN: 0.687 G_L1: 3.611 D_real: 0.442 D_fake: 0.722 
(epoch: 575, iters: 128, time: 0.179, data: 0.015) G_GAN: 1.117 G_L1: 3.177 D_real: 1.261 D_fake: 0.302 
(epoch: 588, iters: 64, time: 0.173, data: 6.246) G_GAN: 1.007 G_L1: 3.482 D_real: 0.666 D_fake: 0.472 
(epoch: 600, iters: 128, time: 0.182, data: 0.019) G_GAN: 0.701 G_L1: 3.768 D_real: 0.354 D_fake: 0.704 
